initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
12 330 500 545 555 0 NULL NULL NULL
12 326 501 545 555 1 59 627.918579 432.987274
10 325 494 538 549 0 NULL NULL NULL
13 329 498 542 552 0 NULL NULL NULL
11 329 498 542 553 0 NULL NULL NULL
9 325 495 539 549 0 NULL NULL NULL
14 331 504 548 559 0 NULL NULL NULL
12 326 492 537 546 0 NULL NULL NULL
8 325 494 537 546 0 NULL NULL NULL
12 326 494 538 549 0 NULL NULL NULL
11 327 496 540 551 0 NULL NULL NULL
17 332 502 545 556 0 NULL NULL NULL
14 329 499 543 554 0 NULL NULL NULL
12 327 496 540 551 0 NULL NULL NULL
16 335 505 549 570 1 47 207.284363 385.557434
14 332 500 544 555 0 NULL NULL NULL
14 332 501 545 557 0 NULL NULL NULL
11 328 496 540 551 0 NULL NULL NULL
16 333 504 549 558 0 NULL NULL NULL
35 352 522 565 576 0 NULL NULL NULL
15 334 504 560 570 0 NULL NULL NULL
15 330 500 544 562 1 102 285.843750 438.204163
12 332 502 546 555 0 NULL NULL NULL
17 334 503 547 557 0 NULL NULL NULL
13 329 497 541 551 0 NULL NULL NULL
13 331 499 544 559 0 NULL NULL NULL
14 331 502 546 555 0 NULL NULL NULL
17 332 502 546 556 0 NULL NULL NULL
12 327 495 539 550 0 NULL NULL NULL
8 325 495 538 549 0 NULL NULL NULL
14 329 498 541 553 1 5 307.666656 195.666672
13 327 495 539 554 1 51 210.431259 421.382294
10 326 495 539 550 0 NULL NULL NULL
14 330 499 543 553 0 NULL NULL NULL
14 331 500 543 554 0 NULL NULL NULL
10 324 492 535 545 0 NULL NULL NULL
15 330 497 541 550 0 NULL NULL NULL
16 337 506 550 560 0 NULL NULL NULL
10 329 499 545 554 0 NULL NULL NULL
18 336 509 554 568 1 33 263.177979 332.077667
20 336 507 551 562 0 NULL NULL NULL
16 335 506 552 563 0 NULL NULL NULL
15 334 502 546 555 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 1 1 1 6 0 NULL NULL NULL
0 49 50 50 56 0 NULL NULL NULL
0 7 7 7 12 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
1 11 11 11 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 9 9 9 17 0 NULL NULL NULL
0 7 7 8 13 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 11 12 12 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 9 9 9 14 0 NULL NULL NULL
0 10 11 11 18 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 11 17 0 NULL NULL NULL
0 11 12 12 17 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 19 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 17 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
1 11 12 12 17 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
1 10 11 11 17 0 NULL NULL NULL
0 9 9 10 16 0 NULL NULL NULL
1 9 9 9 15 0 NULL NULL NULL
0 9 10 10 14 0 NULL NULL NULL
0 11 11 12 19 0 NULL NULL NULL
0 7 7 8 12 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 9 10 17 0 NULL NULL NULL
0 8 8 9 13 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 12 12 16 0 NULL NULL NULL
0 11 12 12 18 0 NULL NULL NULL
0 9 9 10 14 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 2 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 2 2 2 8 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
