initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 1 1 2 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 15 16 16 23 0 NULL NULL NULL
0 8 8 9 15 0 NULL NULL NULL
1 8 9 9 14 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 12 13 13 18 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 9 10 16 0 NULL NULL NULL
0 8 8 9 14 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 9 9 9 14 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 8 8 8 14 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 9 10 14 0 NULL NULL NULL
0 11 11 11 19 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 11 11 12 19 0 NULL NULL NULL
0 8 8 8 16 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 8 8 8 14 0 NULL NULL NULL
0 10 11 11 18 0 NULL NULL NULL
0 8 9 9 17 0 NULL NULL NULL
0 7 7 8 13 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 8 8 8 15 0 NULL NULL NULL
1 8 9 9 14 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 10 10 11 17 0 NULL NULL NULL
0 9 9 9 14 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 9 9 9 15 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 8 9 14 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 10 10 14 0 NULL NULL NULL
0 9 9 10 14 0 NULL NULL NULL
0 11 11 11 17 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
2 323 495 539 551 0 NULL NULL NULL
10 330 501 545 557 1 156 301.978424 349.554901
18 337 507 552 564 1 45 117.364105 337.372650
11 329 498 542 554 1 80 249.141022 254.299149
8 345 522 567 577 1 71 339.502411 467.628021
8 335 510 555 567 1 63 139.878265 467.556519
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 1 1 1 7 0 NULL NULL NULL
0 41 41 42 47 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 9 9 9 16 0 NULL NULL NULL
0 8 9 9 14 0 NULL NULL NULL
0 11 12 12 20 0 NULL NULL NULL
0 7 7 8 15 0 NULL NULL NULL
0 8 8 8 15 0 NULL NULL NULL
0 8 8 9 13 0 NULL NULL NULL
0 11 11 11 17 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 12 17 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 11 11 11 18 0 NULL NULL NULL
0 8 9 9 13 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 12 12 17 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 12 12 17 0 NULL NULL NULL
0 11 11 11 18 0 NULL NULL NULL
0 8 9 9 14 0 NULL NULL NULL
0 11 12 12 17 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 18 0 NULL NULL NULL
0 8 8 8 14 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 18 0 NULL NULL NULL
1 9 9 9 14 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 11 12 20 0 NULL NULL NULL
0 6 7 7 12 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 18 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
1 11 12 12 16 0 NULL NULL NULL
0 11 11 11 18 0 NULL NULL NULL
0 9 9 9 14 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 11 11 11 19 0 NULL NULL NULL
0 8 8 8 14 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 11 11 12 18 0 NULL NULL NULL
0 9 9 9 14 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 11 11 11 17 0 NULL NULL NULL
0 9 10 10 14 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
1 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
1 11 11 12 16 0 NULL NULL NULL
1 11 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 12 12 19 0 NULL NULL NULL
0 8 8 9 15 0 NULL NULL NULL
0 9 9 9 14 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 12 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 12 12 16 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 9 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 1 1 9 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 0 8936 0 NULL NULL NULL
0 0 0 1 5 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 9 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
2 314 482 526 539 0 NULL NULL NULL
55 377 548 593 605 1 123 149.299744 258.940582
18 338 507 551 562 1 43 325.545868 469.299774
11 327 496 541 551 1 79 249.138535 254.086578
8 326 497 541 552 1 71 339.502411 467.628021
15 345 516 560 572 1 129 343.948883 260.310852
13 328 500 545 557 1 44 222.335297 344.594116
12 328 499 543 554 1 61 394.090912 387.408081
10 328 502 546 558 1 82 503.144226 336.330139
14 335 504 548 559 1 46 418.683319 300.252777
12 329 504 549 558 1 137 376.535919 233.394104
10 329 498 542 554 1 70 345.250000 253.779907
16 332 503 548 559 1 69 281.321838 288.464355
15 334 506 551 562 1 69 251.142578 294.795746
12 330 501 545 554 1 65 251.614685 296.960236
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 5 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 11 12 12 19 0 NULL NULL NULL
0 7 8 8 16 0 NULL NULL NULL
0 6 7 7 14 0 NULL NULL NULL
0 8 8 9 13 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 10 11 11 19 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
1 10 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 10 11 11 18 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 11 11 11 19 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 11 11 11 18 0 NULL NULL NULL
0 8 9 9 14 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 8 8 9 13 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 12 19 0 NULL NULL NULL
1 7 8 8 13 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 11 11 12 17 0 NULL NULL NULL
0 9 9 10 17 0 NULL NULL NULL
0 8 8 8 14 0 NULL NULL NULL
0 9 10 10 18 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 11 19 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 10 10 10 18 0 NULL NULL NULL
0 7 8 8 14 0 NULL NULL NULL
0 9 9 10 17 0 NULL NULL NULL
0 8 8 8 16 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
1 11 11 12 16 0 NULL NULL NULL
0 11 12 12 16 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 11 11 12 19 0 NULL NULL NULL
0 8 8 9 13 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 7 7 7 15 0 NULL NULL NULL
0 7 7 8 12 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 11 19 0 NULL NULL NULL
0 8 8 8 14 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 10 11 11 19 0 NULL NULL NULL
0 7 7 8 12 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
1 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 12 17 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
1 11 11 11 18 0 NULL NULL NULL
0 8 9 9 14 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 0 1 1 9 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 1 1795 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
1 1 1 1 9 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 1 1 1 9 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 0 0 1 6 0 NULL NULL NULL
0 1 1 2 7 0 NULL NULL NULL
0 13 14 14 21 0 NULL NULL NULL
1 8 8 8 14 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 18 0 NULL NULL NULL
0 8 8 9 13 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 11 12 17 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 11 16 0 NULL NULL NULL
0 9 9 10 14 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 17 0 NULL NULL NULL
0 8 9 9 14 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 7 7 7 14 0 NULL NULL NULL
0 9 9 10 17 0 NULL NULL NULL
0 8 8 8 15 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
2 315 485 529 538 0 NULL NULL NULL
19 338 508 553 563 1 158 302.843872 350.673004
18 339 514 560 570 1 46 117.340134 337.408173
12 333 505 550 559 1 79 249.138535 254.086578
10 330 498 543 554 1 71 339.502411 467.628021
15 331 500 544 556 1 129 343.948883 260.310852
13 330 498 542 554 1 44 222.335297 344.594116
12 329 498 542 552 1 61 394.090912 387.408081
10 327 496 543 552 1 93 504.144196 336.751770
13 329 499 542 554 1 57 432.131042 296.025635
10 326 495 539 550 1 73 391.052521 238.141418
7 325 494 537 547 1 56 292.049988 290.813904
14 328 497 542 551 1 69 281.321838 288.464355
13 333 502 546 556 1 69 251.142578 294.795746
8 326 496 540 549 1 65 251.614685 296.960236
14 331 501 546 557 1 4 225.500000 223.500000
11 330 499 543 554 0 NULL NULL NULL
9 323 490 533 542 0 NULL NULL NULL
14 329 498 542 551 0 NULL NULL NULL
12 331 500 544 553 0 NULL NULL NULL
9 325 495 539 549 0 NULL NULL NULL
13 331 501 545 554 0 NULL NULL NULL
12 329 500 546 555 0 NULL NULL NULL
20 338 506 550 559 0 NULL NULL NULL
21 340 510 555 566 0 NULL NULL NULL
14 335 504 548 557 0 NULL NULL NULL
9 330 501 545 556 0 NULL NULL NULL
8 322 492 536 546 1 10 517.000000 134.500000
13 330 500 544 569 1 57 79.597450 140.089249
11 332 501 546 557 0 NULL NULL NULL
12 329 499 544 553 0 NULL NULL NULL
16 334 504 548 557 0 NULL NULL NULL
20 337 506 550 559 0 NULL NULL NULL
11 329 498 542 551 0 NULL NULL NULL
10 324 493 538 548 1 59 627.918579 432.987274
17 332 501 546 557 1 3 533.333313 160.666672
13 330 499 543 554 0 NULL NULL NULL
11 330 499 543 554 0 NULL NULL NULL
16 333 504 548 557 0 NULL NULL NULL
15 332 500 544 553 0 NULL NULL NULL
11 328 499 543 554 0 NULL NULL NULL
8 326 495 539 548 0 NULL NULL NULL
13 331 502 546 555 0 NULL NULL NULL
11 330 502 546 557 0 NULL NULL NULL
9 327 498 543 552 0 NULL NULL NULL
14 328 497 541 551 0 NULL NULL NULL
19 332 501 545 554 0 NULL NULL NULL
9 325 494 539 563 1 47 206.809525 385.401917
15 331 499 544 553 0 NULL NULL NULL
15 333 504 550 560 0 NULL NULL NULL
11 331 502 546 555 0 NULL NULL NULL
17 334 503 550 559 0 NULL NULL NULL
34 349 515 558 570 0 NULL NULL NULL
13 329 499 543 551 0 NULL NULL NULL
12 326 495 540 557 1 102 285.843750 438.204163
12 333 501 545 555 0 NULL NULL NULL
14 328 496 539 548 0 NULL NULL NULL
14 333 502 547 557 0 NULL NULL NULL
9 327 496 540 548 0 NULL NULL NULL
16 334 505 549 559 0 NULL NULL NULL
16 332 501 544 555 0 NULL NULL NULL
9 326 495 539 548 0 NULL NULL NULL
18 335 505 549 558 0 NULL NULL NULL
13 329 499 543 554 0 NULL NULL NULL
10 324 495 539 555 1 65 313.915344 102.312172
18 339 510 554 565 0 NULL NULL NULL
15 332 500 543 552 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
2 320 489 533 543 0 NULL NULL NULL
42 365 535 579 589 1 31 203.179489 323.769226
9 324 491 535 543 0 NULL NULL NULL
21 340 507 551 561 1 5 186.666672 475.666656
12 326 495 537 548 1 4 187.000000 475.500000
11 322 489 532 543 0 NULL NULL NULL
16 329 497 541 551 1 8 186.916672 454.166656
11 325 490 533 543 1 7 187.095245 454.095245
8 318 484 528 539 1 31 14.321839 409.298859
12 328 496 540 551 1 53 175.051285 471.897430
10 323 489 532 543 0 NULL NULL NULL
16 326 492 535 546 0 NULL NULL NULL
14 330 499 543 554 1 12 165.500000 371.574066
10 321 485 528 537 1 12 165.500000 371.574066
14 324 488 531 542 1 59 173.509811 471.352936
11 323 489 533 542 1 60 177.055557 472.222229
16 328 496 540 551 0 NULL NULL NULL
14 327 492 535 546 1 3 7.333333 383.666656
10 324 493 537 547 1 4 83.500000 395.500000
15 328 494 537 548 1 4 96.500000 400.000000
17 329 494 536 547 1 8 98.000000 400.666656
12 321 486 529 539 0 NULL NULL NULL
16 327 491 533 543 0 NULL NULL NULL
12 323 489 532 543 0 NULL NULL NULL
15 327 492 536 545 1 8 13.500000 409.500000
13 326 494 537 547 1 62 476.590271 459.798615
9 326 496 539 549 1 8 467.000000 399.000000
14 329 502 546 557 1 34 13.264706 409.519623
13 328 495 539 549 1 4 492.000000 401.000000
11 328 495 540 550 1 4 504.000000 407.333344
15 333 500 544 555 0 NULL NULL NULL
13 328 497 541 551 0 NULL NULL NULL
17 330 496 540 551 0 NULL NULL NULL
15 330 498 542 553 0 NULL NULL NULL
14 328 497 541 551 1 5 325.666656 458.333344
17 335 501 545 555 1 3 325.666656 458.333344
16 334 503 546 556 0 NULL NULL NULL
13 326 495 540 550 0 NULL NULL NULL
16 331 495 537 546 0 NULL NULL NULL
17 326 490 533 543 0 NULL NULL NULL
13 323 491 534 542 1 3 232.333328 453.666656
8 319 483 526 536 1 3 264.333344 460.333344
14 322 486 530 541 1 3 264.333344 460.333344
11 323 488 532 541 0 NULL NULL NULL
15 327 492 535 546 0 NULL NULL NULL
13 325 491 535 545 0 NULL NULL NULL
17 330 496 539 549 0 NULL NULL NULL
16 327 494 537 546 1 10 230.452377 408.047607
13 325 488 530 539 1 7 230.476196 407.761902
16 329 495 538 549 1 5 344.222229 436.555542
14 326 493 537 545 1 6 374.000000 449.500000
11 321 486 529 537 1 11 374.444458 449.222229
13 325 493 537 545 0 NULL NULL NULL
27 341 515 559 569 0 NULL NULL NULL
9 335 506 551 561 0 NULL NULL NULL
17 342 519 566 577 0 NULL NULL NULL
13 341 514 559 568 1 60 171.346161 471.519226
17 343 522 568 580 1 60 12.703125 408.406250
18 342 517 564 575 1 18 177.500000 473.083344
10 338 520 567 575 0 NULL NULL NULL
10 328 502 548 557 0 NULL NULL NULL
17 364 549 598 608 0 NULL NULL NULL
18 356 538 584 594 1 6 244.000000 434.500000
17 353 535 582 592 1 46 176.833328 473.000000
18 362 552 600 609 1 26 14.357142 408.285706
8 350 529 573 582 1 3 12.666667 407.333344
8 319 486 529 540 0 NULL NULL NULL
14 329 498 541 552 1 12 165.500000 371.574066
11 323 490 533 544 1 12 165.500000 371.574066
17 334 507 551 559 1 59 173.509811 471.352936
16 334 502 546 555 1 25 14.686869 409.525238
10 322 489 533 541 0 NULL NULL NULL
18 380 557 605 614 1 5 21.777779 386.555542
12 331 500 545 553 1 5 89.222221 394.444458
16 337 506 550 559 1 5 89.222221 394.444458
12 329 500 545 555 0 NULL NULL NULL
10 332 500 543 551 0 NULL NULL NULL
17 337 505 549 557 0 NULL NULL NULL
15 326 490 534 544 0 NULL NULL NULL
11 330 500 544 553 1 32 12.740741 408.555542
16 332 503 551 562 1 153 612.122437 425.000000
15 335 504 549 559 1 126 614.256409 423.467957
12 332 503 547 557 1 25 12.968254 409.031738
11 326 495 539 550 1 4 504.500000 405.500000
15 330 500 546 557 1 9 504.555542 406.000000
14 330 500 545 554 0 NULL NULL NULL
16 341 512 556 567 0 NULL NULL NULL
9 327 504 548 557 0 NULL NULL NULL
16 354 616 666 676 0 NULL NULL NULL
13 334 507 550 562 1 3 349.666656 455.333344
12 327 496 539 548 1 3 349.666656 455.333344
16 326 492 536 545 0 NULL NULL NULL
14 325 492 535 543 0 NULL NULL NULL
11 321 486 529 539 0 NULL NULL NULL
14 323 492 535 546 0 NULL NULL NULL
11 323 489 532 540 1 3 250.666672 466.666656
16 326 490 534 544 1 3 250.666672 466.666656
13 323 488 532 540 1 9 281.666656 461.666656
12 325 490 533 544 0 NULL NULL NULL
18 326 490 533 543 0 NULL NULL NULL
10 320 487 531 538 0 NULL NULL NULL
16 329 497 541 551 1 12 104.687500 421.937500
14 323 487 530 540 1 12 104.500000 422.000000
12 319 484 527 538 1 7 313.266663 430.533325
18 329 496 540 550 1 4 372.500000 447.500000
11 320 485 527 537 1 8 373.000000 448.500000
16 328 493 536 546 0 NULL NULL NULL
13 323 490 534 543 0 NULL NULL NULL
11 322 486 528 539 0 NULL NULL NULL
15 328 492 535 543 0 NULL NULL NULL
13 322 490 534 543 1 11 249.745102 396.333344
18 332 496 539 550 1 14 14.916667 411.277771
12 321 486 528 539 1 39 11.767442 408.209290
8 323 491 533 544 1 59 176.580246 473.037048
13 321 486 529 539 0 NULL NULL NULL
10 320 484 527 538 0 NULL NULL NULL
14 327 494 538 547 0 NULL NULL NULL
11 322 487 530 541 1 4 251.500000 432.500000
16 327 494 537 546 1 51 178.904755 473.523804
13 326 493 537 548 1 28 14.527778 408.638885
9 323 489 532 543 1 3 163.333328 468.666656
14 322 489 532 542 0 NULL NULL NULL
11 322 490 534 544 1 13 101.376808 398.507233
16 330 496 539 548 1 13 101.192986 398.666656
13 330 495 539 549 1 10 249.500000 398.000000
10 319 483 527 535 1 22 249.399994 396.500000
15 329 497 540 550 1 26 14.055555 409.208344
11 323 488 530 541 0 NULL NULL NULL
8 315 479 522 531 1 4 79.500000 392.500000
